"Trajeto Narrativo Temático Machado de Assis nos acervos digitais das instituições de Cultura, Memória e Patrimônio",,,,,,,,,,,,
"REGISTRO, Título",REG SEL S/N,MIME Type,URL do Registro,ACERVO/RECURSO usado p. encontrar o registro,URL INTERFACE,1-TEM ID PERSISTENTE? S/N,2-PADRÃO METADADOS? S/N,3-LEGÍVEL P. MÁQUINA (RDF)? S/N,4-REGISTRO ENCONTRÁVEL NA INTERFACE DE BUSCA DO ACERVO?S/N,5- REGISTRO ACESSÍVEL NA INTERFACE DO ACERVO? S/N,6- TEM LICENÇA DE USO EXPLICITA?S/N,QUANTOS CRITÉRIOS ATENDIDOS: N/6
Panelinha em almoço no Hotel Rio Branco,,image/jpg,https://www.academia.org.br/sites/default/files/panelinha.jpg,"Google, ABL","ABL, https://www.academia.org.br/",N,N,N,N,S,"N, Acervo ABL sem informação",1/6
A Panelinha,,image/jpg,https://commons.wikimedia.org/w/index.php?curid=5509646,Google,https://marianaviaja.com/brasil/visita-guiada-academia-brasileira-de-letras/,N,N,N,N,S,"Domínio público, segundo a Wikimedia Commons",1/6
Duas cartas de Machado de Assis a Carolina,,text/pdf,https://www.academia.org.br/abl/media/RB%2056-GUARDADOS%20DA%20MEMORIA.pdf ,Google ,Google,N,N,N,N,S,"N, Não informado",1/6
"Dom Casmurro, 1ª. edição",S,text/pdf,https://acervobndigital.bn.gov.br/sophia/index.asp?codigo_sophia=4883,BN Digital,https://acervobndigital.bn.gov.br/sophia/index.html,N,"S, MARC, DC",N,S,S,"N, Não informado",3/6
Machado de Assis na Wikidata,S,text,https://www.wikidata.org/wiki/Q311145,Google ,,S,"S, Wikidata Ontology",S,N,S,"S, Política da Wikidata, CC0, Public domains, https://www.wikidata.org/wiki/Wikidata:Copyright",4/6
"Em busca de Machado de Assis: Memorial de Aires entre tradição, modernidade e as peculiaridades machadianas",,text/pdf,https://repositorio.ufjf.br/jspui/handle/ufjf/299,BDTD,https://bdtd.ibict.br/vufind/,S,"S, DC",N,S,S,"S, dc.rights: Acesso Aberto",5/6
Abolição da escravatura,S,text/html,https://www.wikidata.org/wiki/Q59873089,Google ,,S,"S, Wikidata ontology",S,N,S,"S, Política da Wikidata, CC0, Public domains, https://www.wikidata.org/wiki/Wikidata:Copyright",5/6
Rio de Janeiro,S,text/html,https://www.wikidata.org/wiki/Q8678,Google ,,S,"S, Wikidata ontology",S,N,S,"S, Política da Wikidata, CC0, Public domains, https://www.wikidata.org/wiki/Wikidata:Copyright",5/6
Escrivaninha de Machado de Assis,,image,http://3.bp.blogspot.com/_-Q3JeBI528U/Swp70HiK-CI/AAAAAAAAAV0/9dLQ39jis3g/s400/escrivaninha.jpg,Google ,,N,N,N,N,S,N,1/6
"Carta de Machado de Assis ao Visconde do Rio Branco, referindo-se à passagem da data comemorativa da promulgaçao da ""Lei do Ventre Livre""",S,text,https://acervobndigital.bn.gov.br/sophia/index.asp?codigo_sophia=461,BN Digital,https://acervobndigital.bn.gov.br/sophia/index.html,N,"S, MARC, DC",N,S,S,"N, Não informado",3/6
